ticker,c,weekly_low,25DMA,25DMA_shifted,long_signal_value,short_signal_value,signal,signal_status_prior_week,vol_ratio,25DMA_range_bps,25D_ADV_Shares_MM,25D_ADV_nortional_B,avg_trade_size
c:USDJPY,157.887,156.108,156.42916000000002,155.91116,-0.0020530699007782196,0.009319490049041852,Neutral,Neutral,0.9522237061447625,0.004931643399100551,0.19818435999999998,0.030970067399375995,1.0
c:CADUSD,0.71854566357692,0.71818,0.7269158104726149,0.7212879999999999,-0.012017637182681626,-0.011514602895007824,Neutral,Neutral,0.4754967730275484,0.003409325015718662,0.03192764,2.3205844295999998e-05,1.0
c:EURGBP,0.86735,0.86359,0.8724972,0.8757216000000001,-0.010208857976850819,-0.005899388559642391,Neutral,Neutral,0.3660623662225269,0.004076818942234817,0.20688728,0.00018053832718799997,1.0
BIL,91.47,91.42,91.45,91.5864,-0.00032804811372335853,0.00021869874248218722,Neutral,Neutral,0.012357068873720085,0.00010279126118458934,8.04132224,0.7353452139289199,333.9883277116989
BILS,99.3,99.25,99.25619999999999,99.345328,-6.246461178236379e-05,0.00044128225743081547,Neutral,Neutral,0.0227637603069425,0.00013298860222890052,0.3917524,0.038881929506404,396.7418397626113
SPTS,29.27,29.26,29.269799999999996,29.2952,-0.00033481609030450925,6.832981434894896e-06,Neutral,Neutral,0.115834588639204,0.0006829978759682896,1.22712632,0.035919760363444,641.3507565337002
SPTI,28.84,28.82,28.8618,28.9386,-0.0014482811189876759,-0.000755323645787821,Neutral,Neutral,0.19593897529708473,0.0017205204336450573,1.7591995200000001,0.05076391786842001,836.5307625649913
SPTL,26.64,26.384,26.576,26.8488,-0.0072245635159542505,0.002408187838651417,Neutral,Neutral,0.9726655038848645,0.004990994887923015,6.11055132,0.16237772837418402,2001.5862694300517
HYG,81.0,80.7,80.67599999999999,80.5324,0.0002974862412615291,0.004016064257028266,Neutral,Neutral,0.11164627540632993,0.0019318964644331757,31.85586528,2.56946329834962,688.8485385878489
JNK,97.69,97.31,97.214,97.02,0.0009875120867365158,0.004896414096735029,Neutral,Neutral,0.12728504631896517,0.001949807705222917,4.12557332,0.40091555805775997,332.07844195079844
TLT,87.93,86.9,87.75399999999999,88.8556,-0.009731750119652495,0.0020056065820363306,Neutral,Neutral,1.1210631524991073,0.005544589701484468,33.75800188,2.961792646920768,406.94994018520435
IEF,96.3,96.07,96.3572,96.73440000000001,-0.0029805764385018737,-0.0005936245553005774,Neutral,Neutral,0.3582063283689414,0.0023623393992011714,7.61385272,0.7335912102466761,318.9036912538847
SHY,82.83,82.8101,82.836,82.88680000000001,-0.000312665990632007,-7.243227582210908e-05,Neutral,Neutral,0.08173809096337846,0.0005673264414767263,3.5908006400000003,0.29747682609424,345.5556854410202
VEA,64.53,62.92,62.7604,61.38399999999999,0.0025430048246984503,0.02819612367033996,Neutral,Neutral,0.6488031352244344,0.006037881735034547,17.25585688,1.083548160950224,334.3816570004631
IEFA,92.14,90.52,89.84899999999999,88.3982,0.0074680853431869755,0.025498336097229922,Neutral,Neutral,0.6264221946664398,0.005625204370921277,11.5226034,1.035186570851276,259.3706569804169
BND,74.29,74.0301,74.1644,74.3364,-0.0018108418594365502,0.001693534903538702,Neutral,Neutral,0.3500286038557669,0.0020060687600201204,8.598511960000002,0.637651631419424,223.81323948527506
AGG,100.16,99.81,100.0016,100.20560000000002,-0.0019159693444904282,0.0015839746564055008,Neutral,Neutral,0.3382607034263188,0.0020240908829464374,8.13635844,0.813670127037028,253.76955206297356
VUG,491.03,486.31,489.5624,484.9928,-0.006643484058416297,0.00299777924121613,Neutral,Neutral,1.2316540482344378,0.009874921670529918,1.11054644,0.543345960136824,35.654555587993315
VWO,55.43,54.845,54.18959999999999,54.0824,0.012094571652125267,0.02289000103340878,Neutral,Neutral,0.7762676016346959,0.006307414286633511,10.85720228,0.588686736956156,228.56001145803495
IEMG,70.04,69.115,67.5056,66.8708,0.023840985044203646,0.03754355194235745,Neutral,Neutral,0.8406141223496427,0.0067797779410783375,12.6319726,0.8541889436694761,324.2864201066915
IJR,126.42,121.42,122.9444,119.704,-0.012399100731712872,0.02826968938804858,Neutral,Neutral,1.4970902669744248,0.012637258608969021,4.80301,0.590752742465508,58.44360607801159
IJH,69.11,67.01,67.1524,65.49,-0.0021205496750673837,0.02915160143196668,Neutral,Neutral,1.0809656199259299,0.011112608040780379,9.68911816,0.651339150560784,315.60332530566876
VIG,224.76,220.71,221.6736,219.4424,-0.004346931704993222,0.013923173530812861,Neutral,Neutral,0.8400622424198576,0.007516542050052568,1.636061,0.36273060254096,57.49654170965646
IWF,476.18,471.45,475.0432,471.4560000000001,-0.007563943658176823,0.002393045516702468,Neutral,Neutral,1.2169158227496972,0.009676607930057512,1.89936984,0.901917271392304,48.90567276906658
EFA,98.81,97.23,96.4316,94.84559999999999,0.00827944366784333,0.02466411425300419,Neutral,Neutral,0.6358096211465682,0.005643934967469198,20.1498454,1.940172473319548,334.7096828574439
